"Month","Category Group/Category","Category Group","Category","Budgeted","Activity","Available"
"Apr 2019","Hidden Categories: Parking Permit","Hidden Categories","Parking Permit",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Visitor Permits","Hidden Categories","Visitor Permits",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Gardening Disposal","Hidden Categories","Gardening Disposal",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Gray (NCT)","Hidden Categories","Gray (NCT)",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Charlie","Hidden Categories","Charlie",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Joe from Lou","Hidden Categories","Joe from Lou",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Pakkeleg","Hidden Categories","Pakkeleg",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Lou from Joe","Hidden Categories","Lou from Joe",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Joe Parents","Hidden Categories","Joe Parents",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Lou Parents","Hidden Categories","Lou Parents",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Gym","Hidden Categories","Gym",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Home Decoration","Hidden Categories","Home Decoration",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Therapy","Hidden Categories","Therapy",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Contact Lenses","Hidden Categories","Contact Lenses",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Chloe","Hidden Categories","Chloe",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Lysander","Hidden Categories","Lysander",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Ed and Ling","Hidden Categories","Ed and Ling",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Christmas 2021 Pot","Hidden Categories","Christmas 2021 Pot",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Chloe from us","Hidden Categories","Chloe from us",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Bill and Rae","Hidden Categories","Bill and Rae",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Lou from Joe","Hidden Categories","Lou from Joe",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Matt and Anita","Hidden Categories","Matt and Anita",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Joe from Lou","Hidden Categories","Joe from Lou",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Ezra","Hidden Categories","Ezra",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Stocking fillers","Hidden Categories","Stocking fillers",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Isla","Hidden Categories","Isla",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Caroline and Richard","Hidden Categories","Caroline and Richard",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Rachel from us","Hidden Categories","Rachel from us",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Nanna from Chloe","Hidden Categories","Nanna from Chloe",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Barry from us","Hidden Categories","Barry from us",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Grandad from Chloe","Hidden Categories","Grandad from Chloe",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Soren from us","Hidden Categories","Soren from us",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Morfar from Chloe","Hidden Categories","Morfar from Chloe",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Kirsten from us","Hidden Categories","Kirsten from us",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Mormor from Chloe","Hidden Categories","Mormor from Chloe",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Bill and Rae","Hidden Categories","Bill and Rae",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Olee","Hidden Categories","Olee",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Caroline and Richard","Hidden Categories","Caroline and Richard",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Ezra","Hidden Categories","Ezra",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Isla","Hidden Categories","Isla",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Lysander","Hidden Categories","Lysander",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Stocking Fillers","Hidden Categories","Stocking Fillers",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Chloe","Hidden Categories","Chloe",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Joe","Hidden Categories","Joe",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Lou","Hidden Categories","Lou",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Rachel, Barry","Hidden Categories","Rachel, Barry",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Barry","Hidden Categories","Barry",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Rachel","Hidden Categories","Rachel",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Ed, Ling","Hidden Categories","Ed, Ling",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Billy and Rae","Hidden Categories","Billy and Rae",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Charlie","Hidden Categories","Charlie",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Kirsten, Søren","Hidden Categories","Kirsten, Søren",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Søren","Hidden Categories","Søren",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Kirsten","Hidden Categories","Kirsten",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Lysander","Hidden Categories","Lysander",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Nete","Hidden Categories","Nete",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Caroline, Richard","Hidden Categories","Caroline, Richard",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Louisa, James, Ciaran","Hidden Categories","Louisa, James, Ciaran",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Matt and Anita","Hidden Categories","Matt and Anita",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Ezra","Hidden Categories","Ezra",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Isla","Hidden Categories","Isla",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Lee and Ola","Hidden Categories","Lee and Ola",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Car Insurance (Monthly)","Hidden Categories","Car Insurance (Monthly)",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Life Insurance","Hidden Categories","Life Insurance",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Social Workers Union","Hidden Categories","Social Workers Union",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Car Seat","Hidden Categories","Car Seat",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: New Car Deposit","Hidden Categories","New Car Deposit",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Moving Costs","Hidden Categories","Moving Costs",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Workspace Upgrades","Hidden Categories","Workspace Upgrades",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: Lou's iPhone","Hidden Categories","Lou's iPhone",£0.00,£0.00,£0.00
"Apr 2019","Hidden Categories: New TV","Hidden Categories","New TV",£0.00,£0.00,£0.00
"May 2019","Unplanned Expenses: Spending Money","Unplanned Expenses","Spending Money",£588.75,-£588.75,£0.00
"May 2019","Unplanned Expenses: Eating Out / Take Out","Unplanned Expenses","Eating Out / Take Out",£96.25,-£96.25,£0.00
"May 2019","To Use and Dispose: Lou's Birthday Clothes","To Use and Dispose","Lou's Birthday Clothes",£0.00,£0.00,£0.00
"May 2019","To Use and Dispose: Birthday Bike","To Use and Dispose","Birthday Bike",£0.00,£0.00,£0.00
"May 2019","Regular Expenses: Petrol","Regular Expenses","Petrol",£90.00,-£90.00,£0.00
"May 2019","Regular Expenses: Weekly Food","Regular Expenses","Weekly Food",£209.71,-£209.71,£0.00
"May 2019","Regular Expenses: Transportation","Regular Expenses","Transportation",£178.20,-£178.20,£0.00
"May 2019","For Chloe: Babysitting","For Chloe","Babysitting",£0.00,£0.00,£0.00
"May 2019","For Chloe: Chloe Essentials","For Chloe","Chloe Essentials",£699.00,-£701.99,-£2.99
"May 2019","For Chloe: Chloe Clothes","For Chloe","Chloe Clothes",£73.94,-£73.94,£0.00
"May 2019","For Chloe: Chloe Toys/Books","For Chloe","Chloe Toys/Books",£0.00,£0.00,£0.00
"May 2019","For Chloe: Chloe's Future","For Chloe","Chloe's Future",£0.00,£0.00,£0.00
"May 2019","Monthly Bills: Mortgage","Monthly Bills","Mortgage",£0.00,£0.00,£0.00
"May 2019","Monthly Bills: Mortgage Life Cover","Monthly Bills","Mortgage Life Cover",£0.00,£0.00,£0.00
"May 2019","Monthly Bills: Nursery/Childcare","Monthly Bills","Nursery/Childcare",£0.00,£0.00,£0.00
"May 2019","Monthly Bills: Energy","Monthly Bills","Energy",£97.00,-£97.00,£0.00
"May 2019","Monthly Bills: Internet and TV","Monthly Bills","Internet and TV",£36.00,-£36.00,£0.00
"May 2019","Monthly Bills: Council Tax","Monthly Bills","Council Tax",£154.00,-£154.00,£0.00
"May 2019","Monthly Bills: Joe's Phone","Monthly Bills","Joe's Phone",£21.52,-£21.52,£0.00
"May 2019","Monthly Bills: Lou's Phone","Monthly Bills","Lou's Phone",£50.95,-£50.95,£0.00
"May 2019","Monthly Bills: Car Finance","Monthly Bills","Car Finance",£256.11,-£256.11,£0.00
"May 2019","Monthly Bills: Entertainment","Monthly Bills","Entertainment",£22.98,-£22.98,£0.00
"May 2019","Monthly Bills: Online Storage","Monthly Bills","Online Storage",£9.58,-£9.58,£0.00
"May 2019","Monthly Bills: Home Security","Monthly Bills","Home Security",£0.00,£0.00,£0.00
"May 2019","Monthly Bills: Online Services","Monthly Bills","Online Services",£7.11,-£7.11,£0.00
"May 2019","Monthly Bills: Giving","Monthly Bills","Giving",£7.00,-£7.00,£0.00
"May 2019","Monthly Bills: Rent","Monthly Bills","Rent",£1250.00,-£1250.00,£0.00
"May 2019","Off-Monthly Bills: Car Tax (Annual)","Off-Monthly Bills","Car Tax (Annual)",£46.67,£0.00,£46.67
"May 2019","Off-Monthly Bills: Car Breakdown (Annual)","Off-Monthly Bills","Car Breakdown (Annual)",£4.50,£0.00,£4.50
"May 2019","Off-Monthly Bills: Car Insurance (Annual)","Off-Monthly Bills","Car Insurance (Annual)",£0.00,£0.00,£0.00
"May 2019","Off-Monthly Bills: Car MOT (Annual)","Off-Monthly Bills","Car MOT (Annual)",£0.00,£0.00,£0.00
"May 2019","Off-Monthly Bills: Home Insurance (Annual)","Off-Monthly Bills","Home Insurance (Annual)",£75.00,£0.00,£75.00
"May 2019","Off-Monthly Bills: Factor Fees (3-5 months)","Off-Monthly Bills","Factor Fees (3-5 months)",£0.00,£0.00,£0.00
"May 2019","Off-Monthly Bills: TV License (Annual)","Off-Monthly Bills","TV License (Annual)",£154.50,-£154.50,£0.00
"May 2019","Off-Monthly Bills: YNAB (Annual)","Off-Monthly Bills","YNAB (Annual)",£5.84,£0.00,£5.84
"May 2019","Recreation: Books","Recreation","Books",£0.00,£0.00,£0.00
"May 2019","Recreation: Crafts","Recreation","Crafts",£0.00,£0.00,£0.00
"May 2019","Recreation: Clothing","Recreation","Clothing",£72.80,-£72.80,£0.00
"May 2019","Recreation: Cinema","Recreation","Cinema",£11.48,-£11.48,£0.00
"May 2019","Recreation: Football","Recreation","Football",£35.00,-£35.00,£0.00
"May 2019","Rainy Days: ⚠️ Emergency Buffer","Rainy Days","⚠️ Emergency Buffer",£0.00,£0.00,£0.00
"May 2019","Rainy Days: Cards/Presents","Rainy Days","Cards/Presents",£30.00,-£20.00,£10.00
"May 2019","Rainy Days: Christmas 2022 Pot","Rainy Days","Christmas 2022 Pot",£0.00,£0.00,£0.00
"May 2019","Rainy Days: Chloe's Birthday","Rainy Days","Chloe's Birthday",£0.00,£0.00,£0.00
"May 2019","Rainy Days: Car Services","Rainy Days","Car Services",£0.00,£0.00,£0.00
"May 2019","Rainy Days: Trips","Rainy Days","Trips",£160.00,£0.00,£160.00
"May 2019","Rainy Days: New Glasses","Rainy Days","New Glasses",£0.00,£0.00,£0.00
"May 2019","Rainy Days: Dental","Rainy Days","Dental",£0.00,£0.00,£0.00
"May 2019","Rainy Days: Medical","Rainy Days","Medical",£18.50,-£18.50,£0.00
"May 2019","House: Front Door Loan Repayment","House","Front Door Loan Repayment",£0.00,£0.00,£0.00
"May 2019","House: Living Room","House","Living Room",£0.00,£0.00,£0.00
"May 2019","House: Kitchen","House","Kitchen",£0.00,£0.00,£0.00
"May 2019","House: Chloe's Bedroom","House","Chloe's Bedroom",£0.00,£0.00,£0.00
"May 2019","House: Our Bedroom","House","Our Bedroom",£0.00,£0.00,£0.00
"May 2019","House: Bathroom","House","Bathroom",£0.00,£0.00,£0.00
"May 2019","House: Garden","House","Garden",£0.00,£0.00,£0.00
"May 2019","House: Upstairs Hall","House","Upstairs Hall",£0.00,£0.00,£0.00
"May 2019","House: Loft","House","Loft",£0.00,£0.00,£0.00
"May 2019","House: Study","House","Study",£0.00,£0.00,£0.00
"May 2019","House: Other","House","Other",£0.00,£0.00,£0.00
"May 2019","House: Services","House","Services",£0.00,£0.00,£0.00
"May 2019","House: House Pot","House","House Pot",£700.00,£79.02,£22192.47
"May 2019","Saving Goals: New Laptop for Joe","Saving Goals","New Laptop for Joe",£0.00,£0.00,£0.00
"May 2019","Saving Goals: Family Holiday 2022","Saving Goals","Family Holiday 2022",£0.00,£0.00,£0.00
"May 2019","Saving Goals: BIG Holiday 2026ish","Saving Goals","BIG Holiday 2026ish",£0.00,£0.00,£0.00
"May 2019","Saving Goals: Back Extension","Saving Goals","Back Extension",£0.00,£0.00,£0.00
"May 2019","On Hold: Gaming Upgrade","On Hold","Gaming Upgrade",£0.00,£0.00,£0.00
"May 2019","Credit Card Payments: Halifax CC","Credit Card Payments","Halifax CC",£109.30,£586.71,£696.01
"May 2019","Credit Card Payments: Nectar CC","Credit Card Payments","Nectar CC",£0.00,£0.00,£0.00
"May 2019","Money Owed: Nana's Shoe Fund for Chloe","Money Owed","Nana's Shoe Fund for Chloe",£0.00,£0.00,£0.00
"May 2019","Money Owed: Relocation Expenses","Money Owed","Relocation Expenses",£0.00,£0.00,£0.00
"May 2019","Money Owed: Work Expenses","Money Owed","Work Expenses",£0.00,£0.00,£0.00
"May 2019","Money Owed: Owed To Us","Money Owed","Owed To Us",£0.00,£0.00,£0.00
"May 2019","Hidden Categories: Lou's Future","Hidden Categories","Lou's Future",£0.00,£0.00,£0.00
"May 2019","Hidden Categories: Lou's Birthday Fund 2020","Hidden Categories","Lou's Birthday Fund 2020",£0.00,£0.00,£0.00
"May 2019","Hidden Categories: New Laptop for Lou","Hidden Categories","New Laptop for Lou",£0.00,£0.00,£0.00
"May 2019","Hidden Categories: Leaving Do","Hidden Categories","Leaving Do",£0.00,£0.00,£0.00
"May 2019","Hidden Categories: Water","Hidden Categories","Water",£26.00,£0.00,£26.00
"May 2019","Hidden Categories: HCPC Fee","Hidden Categories","HCPC Fee",£0.00,£0.00,£0.00
"May 2019","Hidden Categories: DBS Renewal Fee","Hidden Categories","DBS Renewal Fee",£0.00,£0.00,£0.00
"May 2019","Hidden Categories: Disney+ (Annual)","Hidden Categories","Disney+ (Annual)",£0.00,£0.00,£0.00
"May 2019","Hidden Categories: Parking Permit","Hidden Categories","Parking Permit",£2.92,£0.00,£2.92
"May 2019","Hidden Categories: Visitor Permits","Hidden Categories","Visitor Permits",£0.00,£0.00,£0.00
"May 2019","Hidden Categories: Gardening Disposal","Hidden Categories","Gardening Disposal",£5.00,£0.00,£5.00
"May 2019","Hidden Categories: Gray (NCT)","Hidden Categories","Gray (NCT)",£0.00,£0.00,£0.00
"May 2019","Hidden Categories: Charlie","Hidden Categories","Charlie",£0.00,£0.00,£0.00
"May 2019","Hidden Categories: Joe from Lou","Hidden Categories","Joe from Lou",£0.00,£0.00,£0.00
"May 2019","Hidden Categories: Pakkeleg","Hidden Categories","Pakkeleg",£0.00,£0.00,£0.00
"May 2019","Hidden Categories: Lou from Joe","Hidden Categories","Lou from Joe",£0.00,£0.00,£0.00
"May 2019","Hidden Categories: Joe Parents","Hidden Categories","Joe Parents",£0.00,£0.00,£0.00
"May 2019","Hidden Categories: Lou Parents","Hidden Categories","Lou Parents",£0.00,£0.00,£0.00
"May 2019","Hidden Categories: Gym","Hidden Categories","Gym",£0.00,£0.00,£0.00
"May 2019","Hidden Categories: Home Decoration","Hidden Categories","Home Decoration",£0.00,£0.00,£0.00
"May 2019","Hidden Categories: Therapy","Hidden Categories","Therapy",£0.00,£0.00,£0.00
"May 2019","Hidden Categories: Contact Lenses","Hidden Categories","Contact Lenses",£0.00,£0.00,£0.00
"May 2019","Hidden Categories: Chloe","Hidden Categories","Chloe",£0.00,£0.00,£0.00
"May 2019","Hidden Categories: Lysander","Hidden Categories","Lysander",£0.00,£0.00,£0.00
"May 2019","Hidden Categories: Ed and Ling","Hidden Categories","Ed and Ling",£0.00,£0.00,£0.00
"May 2019","Hidden Categories: Christmas 2021 Pot","Hidden Categories","Christmas 2021 Pot",£50.00,£0.00,£50.00
"May 2019","Hidden Categories: Chloe from us","Hidden Categories","Chloe from us",£0.00,£0.00,£0.00
"May 2019","Hidden Categories: Bill and Rae","Hidden Categories","Bill and Rae",£0.00,£0.00,£0.00
"May 2019","Hidden Categories: Lou from Joe","Hidden Categories","Lou from Joe",£0.00,£0.00,£0.00
"May 2019","Hidden Categories: Matt and Anita","Hidden Categories","Matt and Anita",£0.00,£0.00,£0.00
"May 2019","Hidden Categories: Joe from Lou","Hidden Categories","Joe from Lou",£0.00,£0.00,£0.00
"May 2019","Hidden Categories: Ezra","Hidden Categories","Ezra",£0.00,£0.00,£0.00
"May 2019","Hidden Categories: Stocking fillers","Hidden Categories","Stocking fillers",£0.00,£0.00,£0.00
"May 2019","Hidden Categories: Isla","Hidden Categories","Isla",£0.00,£0.00,£0.00
"May 2019","Hidden Categories: Caroline and Richard","Hidden Categories","Caroline and Richard",£0.00,£0.00,£0.00
"May 2019","Hidden Categories: Rachel from us","Hidden Categories","Rachel from us",£0.00,£0.00,£0.00
"May 2019","Hidden Categories: Nanna from Chloe","Hidden Categories","Nanna from Chloe",£0.00,£0.00,£0.00
"May 2019","Hidden Categories: Barry from us","Hidden Categories","Barry from us",£0.00,£0.00,£0.00
"May 2019","Hidden Categories: Grandad from Chloe","Hidden Categories","Grandad from Chloe",£0.00,£0.00,£0.00
"May 2019","Hidden Categories: Soren from us","Hidden Categories","Soren from us",£0.00,£0.00,£0.00
"May 2019","Hidden Categories: Morfar from Chloe","Hidden Categories","Morfar from Chloe",£0.00,£0.00,£0.00
"May 2019","Hidden Categories: Kirsten from us","Hidden Categories","Kirsten from us",£0.00,£0.00,£0.00
"May 2019","Hidden Categories: Mormor from Chloe","Hidden Categories","Mormor from Chloe",£0.00,£0.00,£0.00
